rank,wave_lambda,n_modules,n_layers,steps,mean_spectral_norm,max_spectral_norm,mean_top10_energy,max_top10_energy,final_loss,survival
8,0.02,7,7,100,1.5288291488374983,1.8165143728256226,2.5514680861046406e-05,3.47689310729038e-05,4.591640472412109,4
1,0.03,14,7,100,2.0231343507766724,2.961439609527588,8.849582185835711e-05,0.0001467560068704188,3.2026257514953613,3
1,0.0,6,3,100,2.7367525895436606,3.7520639896392822,9.800668946506146e-05,0.0001820204925024882,7.454877853393555,3
2,0.02,6,3,100,2.016475021839142,2.5310895442962646,6.430677816145665e-05,0.00011764308146666735,3.0418126583099365,3
2,0.01,6,3,100,2.2881373961766562,3.2630629539489746,6.474086027689434e-05,0.00010615306382533163,2.34332537651062,3
2,0.01,6,3,100,1.8577558000882466,2.500217914581299,7.358115514459011e-05,0.00013500182831194252,1.468767523765564,3
1,0.05,7,7,100,3.0006000314440047,3.2804946899414062,4.02940404455876e-05,4.7013490984681994e-05,3.3287367820739746,3
1,0.03,12,3,100,3.0074592232704163,5.328664302825928,5.431926001620013e-05,0.00015829344920348376,3.1583104133605957,5
8,0.03,3,3,100,1.918836236000061,2.111787796020508,2.1275631297612563e-05,2.1844763978151605e-05,2.3920230865478516,3
4,0.1,7,7,100,2.0283684730529785,2.2572684288024902,2.9233299106376114e-05,3.8279686123132706e-05,5.727370738983154,3
1,0.02,6,3,100,2.7426101764043174,4.037342548370361,7.514020095792755e-05,0.0001423411158611998,6.144805431365967,3
8,0.0,12,3,100,1.2898482183615367,2.3843798637390137,3.114669849916633e-05,8.750019333092496e-05,2.478001117706299,3
4,0.01,14,7,100,1.3602115852492196,1.8572484254837036,6.073314450207233e-05,0.00011071991320932284,3.0829906463623047,3
1,0.01,3,3,100,3.7593026955922446,4.327953815460205,4.365866334410384e-05,5.298281757859513e-05,2.3481478691101074,3
1,0.0,12,3,100,2.5894697308540344,4.520724773406982,5.277823644670813e-05,0.0001369240490021184,3.4162983894348145,3
1,0.02,12,3,100,2.494292209545771,3.9872148036956787,5.7002564669043444e-05,0.00014945898146834224,1.5803531408309937,3
